Title,Price,Status,Img
ნოუთბუქი HP Pavilion 15-cc024ur (3LG45EA),2300,არ არის გაყიდვაში,https://imart.ge/images/thumbnails/340/340/detailed/16/imart_uech_3t00-5s.jpg
ნოუთბუქი HP OMEN 15-ce059ur (3FY88EA) - Black,5000,არ არის გაყიდვაში,https://imart.ge/images/thumbnails/340/340/detailed/12/1_g8re-of.jpg
ნოუთბუქი Acer Aspire NX.GD0ER.014,1160,არ არის გაყიდვაში,https://imart.ge/images/thumbnails/340/340/detailed/11/dxcfvb.jpg
ნოუთბუქი Lenovo Ideapad LN V510-15 IKB,1421,არ არის გაყიდვაში,https://imart.ge/images/thumbnails/340/340/detailed/16/imart_uech_4tjg-9f.jpg
ნოუთბუქი Asus ZenBook UX430UA (UX430UA-GV423T) - Royal Blue,3552,არ არის გაყიდვაში,https://imart.ge/images/thumbnails/340/340/detailed/12/1_97ym-43.jpg
ნოუთბუქი HP 15-bw006ur (1ZD17EA),680,არ არის გაყიდვაში,https://imart.ge/images/thumbnails/340/340/detailed/11/_i5l8-cg.jpg
ნოუთბუქი Apple MacBook Pro A1708 MPXU2RU/A (Mid 2017),4770,არ არის გაყიდვაში,https://imart.ge/images/thumbnails/340/340/detailed/11/მკ.png
ნოუთბუქი Lenovo IdeaPad 320-15IAP (80XR0006RU) - Onyx Black,630,არ არის გაყიდვაში,https://imart.ge/images/thumbnails/340/340/detailed/12/2-1.jpg
ნოუთბუქი ASUS ZenBook UX390UA-GS073T Blue,4920,არ არის გაყიდვაში,https://imart.ge/images/thumbnails/340/340/detailed/9/imart1_5qp5-oj.jpg
ნოუთბუქი Lenovo 81C800B8RU,2700,არ არის გაყიდვაში,https://imart.ge/images/thumbnails/340/340/detailed/11/Szdxfcgvhbjn.JPG
ნოუთბუქი Lenovo IdeaPad 320-15IAP (80XR012FRU),865,არ არის გაყიდვაში,https://imart.ge/images/thumbnails/340/340/detailed/11/ააა.jpg
ნოუთბუქი Lenovo Ideapad 320-15IAP (80XR000GRU),830,არ არის გაყიდვაში,https://imart.ge/images/thumbnails/340/340/detailed/11/hrgefd.jpg
